iter	Passed	Remaining
737	6207	2203
738	6216	2195
739	6224	2187
740	6233	2178
741	6241	2170
742	6250	2161
743	6258	2153
744	6266	2144
745	6274	2136
746	6282	2127
747	6290	2119
748	6298	2110
749	6307	2102
750	6315	2093
751	6323	2085
752	6331	2076
753	6339	2068
754	6347	2059
755	6355	2051
756	6363	2042
757	6371	2034
758	6379	2025
759	6388	2017
760	6396	2008
761	6404	2000
762	6412	1991
763	6420	1983
764	6428	1974
765	6436	1966
766	6445	1957
767	6453	1949
768	6462	1941
769	6472	1933
770	6482	1925
771	6491	1917
772	6499	1908
773	6507	1900
774	6516	1891
775	6524	1883
776	6533	1875
777	6541	1866
778	6550	1858
779	6558	1849
780	6567	1841
781	6576	1833
782	6584	1824
783	6593	1816
784	6602	1808
785	6611	1800
786	6619	1791
787	6628	1783
788	6636	1774
789	6644	1766
790	6652	1757
791	6660	1749
792	6669	1740
793	6677	1732
794	6685	1724
795	6694	1715
796	6703	1707
797	6711	1698
798	6720	1690
799	6729	1682
800	6738	1674
801	6747	1665
802	6755	1657
803	6764	1649
804	6772	1640
805	6781	1632
806	6790	1623
807	6798	1615
808	6807	1607
809	6816	1598
810	6825	1590
811	6833	1582
812	6841	1573
813	6849	1565
814	6857	1556
815	6866	1548
816	6874	1539
817	6882	1531
818	6890	1522
819	6899	1514
820	6907	1505
821	6915	1497
822	6924	1489
823	6932	1480
824	6940	1472
825	6948	1463
826	6957	1455
827	6965	1447
828	6974	1438
829	6982	1430
830	6991	1421
831	7000	1413
832	7008	1405
833	7016	1396
834	7025	1388
835	7033	1379
836	7042	1371
837	7050	1363
838	7059	1354
839	7067	1346
840	7076	1337
841	7084	1329
842	7093	1321
843	7102	1312
844	7110	1304
845	7119	1295
846	7127	1287
847	7136	1279
848	7144	1270
849	7152	1262
850	7161	1253
851	7169	1245
852	7177	1236
853	7187	1228
854	7195	1220
855	7203	1211
856	7211	1203
857	7219	1194
858	7228	1186
859	7236	1178
860	7245	1169
861	7253	1161
862	7262	1152
863	7271	1144
864	7280	1136
865	7290	1128
866	7298	1119
867	7307	1111
868	7316	1102
869	7324	1094
870	7333	1086
871	7341	1077
872	7350	1069
873	7358	1060
874	7367	1052
875	7375	1044
876	7384	1035
877	7392	1027
878	7400	1018
879	7408	1010
880	7417	1001
881	7425	993
882	7434	985
883	7442	976
884	7451	968
885	7459	959
886	7467	951
887	7476	942
888	7485	934
889	7493	926
890	7501	917
891	7510	909
892	7518	900
893	7528	892
894	7537	884
895	7545	875
896	7553	867
897	7561	858
898	7570	850
899	7578	842
900	7587	833
901	7595	825
902	7604	816
903	7612	808
904	7620	799
905	7629	791
906	7638	783
907	7646	774
908	7654	766
909	7663	757
910	7670	749
911	7678	740
912	7686	732
913	7694	723
914	7702	715
915	7710	707
916	7718	698
917	7726	690
918	7735	681
919	7743	673
920	7751	664
921	7759	656
922	7768	648
923	7776	639
924	7785	631
925	7794	622
926	7803	614
927	7812	606
928	7822	597
929	7831	589
930	7839	581
931	7848	572
932	7856	564
933	7864	555
934	7872	547
935	7881	538
936	7889	530
937	7898	522
938	7906	513
939	7916	505
940	7925	496
941	7934	488
942	7942	480
943	7950	471
944	7959	463
945	7967	454
946	7976	446
947	7985	437
948	7993	429
949	8001	421
950	8010	412
951	8018	404
952	8027	395
953	8035	387
954	8044	379
955	8052	370
956	8061	362
957	8069	353
958	8078	345
959	8087	336
960	8095	328
961	8104	320
962	8113	311
963	8121	303
964	8130	294
965	8138	286
966	8147	278
967	8155	269
968	8163	261
969	8172	252
970	8180	244
971	8188	235
972	8196	227
973	8204	219
974	8211	210
975	8219	202
976	8227	193
977	8236	185
978	8244	176
979	8252	168
980	8261	160
981	8269	151
982	8277	143
983	8285	134
984	8294	126
985	8303	117
986	8311	109
987	8319	101
988	8327	92
989	8336	84
990	8345	75
991	8354	67
992	8363	58
993	8372	50
994	8380	42
995	8389	33
996	8397	25
997	8405	16
998	8414	8
999	8423	0
